MetaboliteID	OriginalFeature	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct	DisplayName
MT_M168	HILIC-neg_Cluster_0169: 2-hydroxyglutarate	HMDB0059655	C02630	True	2-hydroxyglutarate	7.205254	147.029673		Hydroxy acids and derivatives	[M-H]-	2-hydroxyglutarate
MT_M169	HILIC-pos_Cluster_1691: C20 carnitine			True	C20 carnitine	6.358002	456.402781		Acyl carnitines	[M+H]+	C20 carnitine
MT_M170	HILIC-neg_Cluster_0034: alpha-hydroxybutyrate	HMDB0000008	C05984	True	alpha-hydroxybutyrate	3.866533	103.039899	1.0		[M-H]-	alpha-hydroxybutyrate
MT_M171	C18-neg_Cluster_0219: 2-hydroxyhexadecanoate	HMDB0031057		True	2-hydroxyhexadecanoate	13.929959	271.228079	11.0		[M-H]-	2-hydroxyhexadecanoate
MT_M172	HILIC-neg_Cluster_0125: phenylacetate	HMDB0000209	C07086	True	phenylacetate	3.972693	135.045062			[M-H]-	phenylacetate
MT_M173	HILIC-pos_Cluster_2052: bilirubin	HMDB0000054	C00486	True	bilirubin	1.642753	585.267624			[M+H]+	bilirubin
MT_M174	HILIC-pos_Cluster_0157: lysine	HMDB0000182	C00047	True	lysine	9.37	147.112492		Amino acids, peptides, and analogues	[M+H]+	lysine
MT_M175	C8-pos_Cluster_1468: C18:3 CE			True	C18:3 CE	11.45202	664.602057		Cholesteryl esters	[M+NH4]+	C18:3 CE
MT_M176	HILIC-neg_Cluster_0129: salicylate	HMDB0000840	C07588	True	salicylate	3.955146	137.024184		Benzoic acids and derivatives	[M-H]-	salicylate
MT_M177	HILIC-neg_Cluster_0622: 1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	HMDB0037942		True	1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	3.809685	229.097974	5.0	Harmala alkaloids	[M-H]-	1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid
MT_M178	HILIC-pos_Cluster_0374: N-acetylspermidine	HMDB0001276	C00612	True	N-acetylspermidine	9.710596	188.175124		Carboximidic acids and derivatives	[M+H]+	N-acetylspermidine
MT_M179	C18-neg_Cluster_0373: eicosenoate	HMDB0002231	C16526	True	eicosenoate	16.115366	309.279965		Long-chain fatty acids	[M-H]-	eicosenoate
MT_M180	C18-neg_Cluster_0250: oleic acid	HMDB0000207	C00712	True	oleic acid	15.272049	281.248551			[M-H]-	oleic acid
MT_M181	C8-pos_Cluster_2156: C52:2 TAG			True	C52:2 TAG	12.046012	881.757443			[M+Na]+	C52:2 TAG
MT_M182	HILIC-pos_Cluster_0797: thiamine	HMDB0000235	C00378	True	thiamine	9.50362	265.110536	2.0	Pyrimidines and pyrimidine derivatives	[M]+	thiamine
MT_M183	C8-pos_Cluster_1375: C16:0 CE			True	C16:0 CE	11.968649	642.618861		Cholesteryl esters	[M+NH4]+	C16:0 CE
MT_M184	C8-pos_Cluster_1623: C20:4 CE			True	C20:4 CE	11.573799	695.573841	9.0	Cholesteryl esters	[M+Na]+	C20:4 CE
MT_M185	C8-pos_Cluster_2161: C52:1 TAG			True	C52:1 TAG	12.311181	883.772469		Triacylglycerols	[M+Na]+	C52:1 TAG
MT_M186	C18-neg_Cluster_0079: undecanedionate	HMDB0000888		True	undecanedionate	7.187602	215.128083	3.0	Medium-chain fatty acids	[M-H]-	undecanedionate
MT_M187	HILIC-neg_Cluster_0187: xanthine	HMDB0000292	C00385	True	xanthine	5.116361	151.025765		Imidazopyrimidines	[M-H]-	xanthine
MT_M188	HILIC-neg_Cluster_0254: urate	HMDB0000289	C00366	True	urate	5.354563	167.020718		Purines and purine derivatives	[M-H]-	urate
MT_M189	C18-neg_Cluster_0472: docosahexaenoic acid	HMDB0002183	C06429	True	docosahexaenoic acid	14.089371	327.23262	13.0		[M-H]-	docosahexaenoic acid
MT_M190	C8-pos_Cluster_1597: C20:4 CE			True	C20:4 CE	11.569904	690.618702	9.0	Cholesteryl esters	[M+NH4]+	C20:4 CE
MT_M191	HILIC-pos_Cluster_0150: 4-guanidinobutanoic acid	HMDB0003464	C01035	True	4-guanidinobutanoic acid	7.207806	146.091958		Gamma amino acids and derivatives	[M+H]+	4-guanidinobutanoic acid
MT_M192	C8-pos_Cluster_2215: C54:6 TAG			True	C54:6 TAG	11.397791	901.725337	33.0	Triacylglycerols	[M+Na]+	C54:6 TAG
MT_M193	C8-pos_Cluster_2141: C52:4 TAG			True	C52:4 TAG	11.540259	877.725965	33.0		[M+Na]+	C52:4 TAG
MT_M194	HILIC-pos_Cluster_0379: trimethyllysine	HMDB0001325	C03793	True	trimethyllysine	11.169333	189.158863		L-alpha-amino acids	[M+H]+	trimethyllysine
MT_M195	C8-pos_Cluster_2233: C54:3 TAG			True	C54:3 TAG	12.150266	907.772896	33.0	Triacylglycerols	[M+Na]+	C54:3 TAG
MT_M196	HILIC-neg_Cluster_0706: uridine	HMDB0000296	C00299	True	uridine	1.796623	243.061889			[M-H]-	uridine
MT_M197	HILIC-neg_Cluster_0087: thymine	HMDB0000262	C00178	True	thymine	1.350997	125.035549		Diazines	[M-H]-	thymine
MT_M198	HILIC-neg_Cluster_1170: lactose	HMDB0000186	C00243	True	lactose	2.609105	341.108598		O-glycosyl compounds	[M-H]-	lactose
MT_M199	C8-pos_Cluster_1282: C34:3 DAG			True	C34:3 DAG	8.566257	613.481674	1.0	Lineolic acids and derivatives	[M+Na]+	C34:3 DAG
MT_M200	C8-pos_Cluster_2226: C54:4 TAG			True	C54:4 TAG	11.891407	905.756823	33.0		[M+Na]+	C54:4 TAG
MT_M201	HILIC-neg_Cluster_0120: adenine	HMDB0000034	C00147	True	adenine	2.271317	134.04717	1.0	Purines and purine derivatives	[M-H]-	adenine
MT_M202	C8-pos_Cluster_1817: C34:2 PC			True	C34:2 PC	8.33618	758.569056		Phosphatidylcholines	[M+H]+	C34:2 PC
MT_M203	HILIC-pos_Cluster_0100: ornithine	HMDB0000214	C00077	True	ornithine	9.281319	133.096824		Amino acids, peptides, and analogues	[M+H]+	ornithine
MT_M204	HILIC-pos_Cluster_0230: carnitine	HMDB0000062	C00487	True	carnitine	8.756221	162.111937	1.0	Quaternary ammonium salts	[M+H]+	carnitine
MT_M205	C8-pos_Cluster_1070: C30:0 DAG			True	C30:0 DAG	8.556091	563.467383		1,2-diacylglycerols	[M+Na]+	C30:0 DAG
MT_M206	C8-pos_Cluster_2149: C52:3 TAG			True	C52:3 TAG	11.790252	879.741796	33.0	Triacylglycerols	[M+Na]+	C52:3 TAG
MT_M207	C18-neg_Cluster_0394: 9.10-diHOME	HMDB0004704		True	9.10-diHOME	10.358848	313.238464		Long-chain fatty acids	[M-H]-	9.10-diHOME
MT_M208	C8-pos_Cluster_0338: C18:0e MAG			True	C18:0e MAG	6.184319	345.336485	10.0	Monoalkylglycerols	[M+H]+	C18:0e MAG
MT_M209	C18-neg_Cluster_0246: linoleic acid	HMDB0000673	C01595	True	linoleic acid	14.484832	279.232943	9.0		[M-H]-	linoleic acid
MT_M210	HILIC-pos_Cluster_1593: C18 carnitine			True	C18 carnitine	6.455731	428.37169	1.0	Acyl carnitines	[M+H]+	C18 carnitine
MT_M211	HILIC-pos_Cluster_0378: NMMA			True	NMMA	9.336896	189.133885		Arginine and derivatives	[M+H]+	NMMA
MT_M212	C8-pos_Cluster_2220: C54:5 TAG			True	C54:5 TAG	11.640319	903.742499	33.0		[M+Na]+	C54:5 TAG
MT_M213	HILIC-neg_Cluster_0040: pyrocatechol	HMDB0000957	C00090	True	pyrocatechol	1.455358	109.029385	1.0	Benzenediols	[M-H]-	pyrocatechol
MT_M214	C8-pos_Cluster_1821: C34:1 PC			True	C34:1 PC	8.644594	760.585077		Phosphatidylcholines	[M+H]+	C34:1 PC
MT_M215	HILIC-pos_Cluster_0172: triethanolamine	HMDB0032538	C06771	True	triethanolamine	7.640081	150.111879		Alkanolamines	[M+H]+	triethanolamine
MT_M216	C18-neg_Cluster_0111: dodecanedioic acid	HMDB0000623	C02678	True	dodecanedioic acid	8.008681	229.143876	1.0	Medium-chain fatty acids	[M-H]-	dodecanedioic acid
MT_M217	C8-pos_Cluster_1367: C36:4 DAG			True	C36:4 DAG	8.686175	639.497236	33.0	Lineolic acids and derivatives	[M+Na]+	C36:4 DAG
MT_M218	HILIC-pos_Cluster_0419: N-acetylhistidine	HMDB0032055	C02997	True	N-acetylhistidine	8.356582	198.084419		Histidine and derivatives	[M+H]+	N-acetylhistidine
MT_M219	HILIC-neg_Cluster_0003: propionate	HMDB0000237	C00163	True	propionate	4.047601	73.02932		Carboxylic acids	[M-H]-	propionate
MT_M220	C18-neg_Cluster_0393: 12.13-diHOME	HMDB0004705	C14829	True	12.13-diHOME	10.162391	313.238314		Long-chain fatty acids	[M-H]-	12.13-diHOME
MT_M221	C8-pos_Cluster_0410: C18:0e MAG			True	C18:0e MAG	6.190883	367.318449	10.0	Monoalkylglycerols	[M+Na]+	C18:0e MAG
MT_M222	C8-pos_Cluster_1377: C36:2 DAG			True	C36:2 DAG	9.289662	643.529436			[M+Na]+	C36:2 DAG
MT_M223	HILIC-pos_Cluster_0447: ADMA	HMDB0001539	C03626	True	ADMA	9.686666	203.149698	2.0	Arginine and derivatives	[M+H]+	ADMA
MT_M224	HILIC-pos_Cluster_0089: hydroxyproline	HMDB0000725	C01157	True	hydroxyproline	7.892168	132.065131			[M+H]+	hydroxyproline
MT_M225	HILIC-pos_Cluster_0906: threosphingosine			True	threosphingosine	5.683548	282.27795	6.0		[M-H2O]+	threosphingosine
MT_M226	HILIC-pos_Cluster_0177: 4-hydroxy-3-methylacetophenone	HMDB0059824		True	4-hydroxy-3-methylacetophenone	1.695767	151.074856		Alkyl-phenylketones	[M+H]+	4-hydroxy-3-methylacetophenone
MT_M227	HILIC-neg_Cluster_0697: pentadecanoate	HMDB0000826	C16537	True	pentadecanoate	3.341595	241.217098		Long-chain fatty acids	[M-H]-	pentadecanoate
MT_M228	C8-pos_Cluster_2081: C50:1 TAG			True	C50:1 TAG	11.95418	855.741439		Triacylglycerols	[M+Na]+	C50:1 TAG
MT_M229	HILIC-pos_Cluster_0272: 3-methylhistidine	HMDB0000479	C01152	True	3-methylhistidine	9.833021	170.091783		Histidine and derivatives	[M+H]+	3-methylhistidine
MT_M230	HILIC-pos_Cluster_1684: C16:0 LPE			True	C16:0 LPE	6.263367	454.290967		1-acyl-sn-glycero-3-phosphoethanolamines	[M+H]+	C16:0 LPE
MT_M231	HILIC-pos_Cluster_0079: pyroglutamic acid	HMDB0000267	C01879	True	pyroglutamic acid	8.044523	130.0495		Alpha amino acids and derivatives	[M+H]+	pyroglutamic acid
MT_M232	C8-pos_Cluster_1373: C36:3 DAG			True	C36:3 DAG	8.991042	641.512618		Lineolic acids and derivatives	[M+Na]+	C36:3 DAG
MT_M233	C8-pos_Cluster_1004: C16:0 ceramide (d18:1)			True	C16:0 ceramide (d18:1)	8.197254	538.519883	6.0	Sphingolipids	[M+H]+	C16:0 ceramide (d18:1)
MT_M234	HILIC-neg_Cluster_0201: histidine	HMDB0000177	C00135	True	histidine	4.037108	154.061827		Amino acids, peptides, and analogues	[M-H]-	histidine
MT_M235	HILIC-neg_Cluster_0204: imidazolelactate	HMDB0002320	C05132	True	imidazolelactate	4.568166	155.045875		Azoles	[M-H]-	imidazolelactate
MT_M236	HILIC-neg_Cluster_0331: sorbitol	HMDB0000247	C00794	True	sorbitol	2.01362	181.071617		Sugar alcohols	[M-H]-	sorbitol
MT_M237	HILIC-neg_Cluster_0335: 4-pyridoxate	HMDB0000017	C00847	True	4-pyridoxate	3.840545	182.045892	3.0	Pyridines and derivatives	[M-H]-	4-pyridoxate
MT_M238	HILIC-pos_Cluster_0151: butyrobetaine	HMDB0001161	C01181	True	butyrobetaine	8.675049	146.116967		Fatty acids and conjugates	[M+H]+	butyrobetaine
MT_M239	HILIC-neg_Cluster_0122: erythronic acid	HMDB0000613		True	erythronic acid	4.425442	135.029822	1.0		[M-H]-	erythronic acid
MT_M240	HILIC-neg_Cluster_0841: heptadecanoate	HMDB0002259		True	heptadecanoate	3.279936	269.248492		Long-chain fatty acids	[M-H]-	heptadecanoate
MT_M241	HILIC-pos_Cluster_0998: threosphingosine			True	threosphingosine	5.676804	300.288345	6.0		[M+H]+	threosphingosine
MT_M242	HILIC-neg_Cluster_0070: hydroxyisovaleric acid			True	hydroxyisovaleric acid	3.714219	117.055643		Hydroxy fatty acids	[M-H]-	hydroxyisovaleric acid
MT_M243	HILIC-pos_Cluster_0092: isoleucine	HMDB0000172	C00407	True	isoleucine	7.039731	132.101601		Isoleucine and derivatives	[M+H]+	isoleucine
MT_M244	HILIC-neg_Cluster_0199: dihydroxybenzoic acid			True	dihydroxybenzoic acid	4.819288	153.018996		Benzoic acids and derivatives	[M-H]-	dihydroxybenzoic acid
MT_M245	HILIC-pos_Cluster_0913: ethyl 9-hexadecenoate	HMDB0059871		True	ethyl 9-hexadecenoate	1.683218	283.262043	29.0	Fatty acid esters	[M+H]+	ethyl 9-hexadecenoate
MT_M246	HILIC-neg_Cluster_0033: malonate	HMDB0000691	C00383	True	malonate	7.481365	103.003626		Dicarboxylic acids and derivatives	[M-H]-	malonate
MT_M247	C8-pos_Cluster_1395: C16:0 CE			True	C16:0 CE	11.973232	647.573818	9.0	Cholesteryl esters	[M+Na]+	C16:0 CE
MT_M248	C18-neg_Cluster_0144: 2-hydroxymyristic acid	HMDB0002261		True	2-hydroxymyristic acid	12.518107	243.196061	11.0	Long-chain fatty acids	[M-H]-	2-hydroxymyristic acid
MT_M249	C18-neg_Cluster_0107: myristic acid	HMDB0000806	C06424	True	myristic acid	14.008037	227.200845		Long-chain fatty acids	[M-H]-	myristic acid
MT_M250	HILIC-pos_Cluster_1017: sphinganine	HMDB0000269	C00836	True	sphinganine	5.706731	302.303848		Organonitrogen compounds	[M+H]+	sphinganine
MT_M251	C8-pos_Cluster_1291: C34:2 DAG			True	C34:2 DAG	8.857822	615.496328	33.0	Lineolic acids and derivatives	[M+Na]+	C34:2 DAG
MT_M252	HILIC-neg_Cluster_0288: suberate	HMDB0000893	C08278	True	suberate	7.142564	173.081584	6.0		[M-H]-	suberate
MT_M253	HILIC-pos_Cluster_1113: phytosphingosine	HMDB0004610	C12144	True	phytosphingosine	5.807391	318.298969	1.0	Organonitrogen compounds	[M+H]+	phytosphingosine
MT_M254	C8-pos_Cluster_1186: C32:0 DAG			True	C32:0 DAG	9.032395	591.495675		1,2-diacylglycerols	[M+Na]+	C32:0 DAG
MT_M255	C18-neg_Cluster_0171: palmitic acid	HMDB0000220	C00249	True	palmitic acid	15.15693	255.232602		Fatty acids and conjugates	[M-H]-	palmitic acid
MT_M256	HILIC-neg_Cluster_0192: ribitol	HMDB0000508	C00474	True	ribitol	1.757746	151.06086		Sugar alcohols	[M-H]-	ribitol
MT_M257	HILIC-neg_Cluster_0118: malate	HMDB0000156	C00149	True	malate	7.324073	133.014111			[M-H]-	malate
MT_M258	HILIC-pos_Cluster_0524: N-acetyl-L-arginine	HMDB0004620		True	N-acetyl-L-arginine	8.115299	217.12866	1.0	N-acyl-L-alpha-amino acids	[M+H]+	N-acetyl-L-arginine
MT_M259	HILIC-neg_Cluster_0117: aspartate	HMDB0000191	C00049	True	aspartate	5.346335	132.030197		Amino acids, peptides, and analogues	[M-H]-	aspartate
MT_M260	HILIC-pos_Cluster_0022: choline	HMDB0000097	C00114	True	choline	8.170531	104.107031		Quaternary ammonium salts	[M+H]+	choline
MT_M261	HILIC-neg_Cluster_0079: 4-hydroxybenzaldehyde	HMDB0011718	C00633	True	4-hydroxybenzaldehyde	2.527884	121.029504		Hydroxybenzaldehydes	[M-H]-	4-hydroxybenzaldehyde
MT_M262	HILIC-neg_Cluster_0036: glycerate	HMDB0000139	C00258	True	glycerate	4.394749	105.019192		Sugar acids and derivatives	[M-H]-	glycerate
MT_M263	HILIC-pos_Cluster_0244: methionine sulfoxide	HMDB0002005	C02989	True	methionine sulfoxide	8.618429	166.052769	1.0	Alpha amino acids	[M+H]+	methionine sulfoxide
MT_M264	C8-pos_Cluster_1610: C20:3 CE			True	C20:3 CE	11.82771	692.632743		Cholesteryl esters	[M+NH4]+	C20:3 CE
MT_M265	HILIC-neg_Cluster_1300: riboflavin	HMDB0000244	C00255	True	riboflavin	1.613945	375.130015		Alloxazines and isoalloxazines	[M-H]-	riboflavin
MT_M266	C8-pos_Cluster_1393: C36:0 DAG			True	C36:0 DAG	9.841556	647.558665		1,2-diacylglycerols	[M+Na]+	C36:0 DAG
MT_M267	C18-neg_Cluster_0268: hexadecanedioic acid	HMDB0000672	C19615	True	hexadecanedioic acid	10.78202	285.206703	1.0	Long-chain fatty acids	[M-H]-	hexadecanedioic acid
MT_M268	HILIC-neg_Cluster_0237: fucose	HMDB0000174	C01019	True	fucose	1.587833	163.061029		Hexoses	[M-H]-	fucose
MT_M269	C8-pos_Cluster_0354: C16:1 MAG			True	C16:1 MAG	4.959597	351.250395		1-monoacylglycerols	[M+Na]+	C16:1 MAG
MT_M270	C8-pos_Cluster_0288: palmitoyl glycerol	HMDB0011564		True	palmitoyl glycerol	5.126296	331.283872		2-monoacylglycerols	[M+H]+	palmitoyl glycerol
MT_M271	C8-pos_Cluster_0467: C18:0 MAG			True	C18:0 MAG	5.72305	381.296567		1-monoacylglycerols	[M+Na]+	C18:0 MAG
MT_M272	C8-pos_Cluster_0868: C24:0 TAG			True	C24:0 TAG	6.457357	493.359345		Triacylglycerols	[M+Na]+	C24:0 TAG
MT_M273	C8-pos_Cluster_0678: C22:1 MAG			True	C22:1 MAG	6.778841	435.344659		1-monoacylglycerols	[M+Na]+	C22:1 MAG
MT_M274	C8-pos_Cluster_0100: 7-hexadecenoic acid methyl ester	HMDB0061858		True	7-hexadecenoic acid methyl ester	4.059965	269.247513		Fatty acid methyl esters	[M+H]+	7-hexadecenoic acid methyl ester
MT_M275	C8-pos_Cluster_0915: C20:0 LPE			True	C20:0 LPE	5.028875	510.356003		1-acyl-sn-glycero-3-phosphoethanolamines	[M+H]+	C20:0 LPE
MT_M276	C8-pos_Cluster_0446: C18:0 MAG			True	C18:0 MAG	5.71969	376.340419		1-monoacylglycerols	[M+NH4]+	C18:0 MAG
MT_M277	C18-neg_Cluster_0177: tetradecanedioate	HMDB0000872	C11002	True	tetradecanedioate	9.442364	257.175625		Long-chain fatty acids	[M-H]-	tetradecanedioate
