feature_id	frequency	candidate_placements	top_edge_num	top_likelihood	top_likelihood_weight	second_likelihood_weight	likelihood_weight_sum	distal_length	pendant_length
4cf8382f0c3af4a503676b907ed0c63e	3	7	10179	-131105.2	0.27087882	0.22881362	1.000000017	0.00085461396	0.10768593
4e2314979e808957a86b1e112676bc20	7	7	10394	-131151.28	0.23024845	0.22463803	1.000000008	0.0014793696	0.20311433
4e7fc7dc1f2f4ac6d3a0a3e908b145f0	5	1	9996	-131062.625	1.0	0.0	1.0	0.028222399	0.03177045
4f997184acb57f8c74379fa58c8f1693	3	2	10299	-130653.484	0.89754564	0.10245437	1.00000001	0.020016879	0.114142895
536d7b9c42b621a92014ed3fe67df968	3	1	216	-130992.48	1.0	0.0	1.0	0.090559736	0.14876798
53a1479ccd9e6c5aa96485388699bf94	5	7	121314	-73710.52	0.34659356	0.2648881	0.9999999930000001	0.005518128	0.16014278
53b99adc639a34045af07c9c873862df	3	3	127	-131223.53	0.7159399	0.24246976	1.000000034	0.13992819	0.12986743
54c05a1e59ddd42bd97a0a8f522bf591	12	2	191009	-139548.55	0.9839132	0.016086834	1.0000000340000001	0.05157976	0.07523476
54e79fcb0bd002cefdec446685a3d676	5	7	10913	-131109.11	0.31321996	0.22297525	0.9999999890000001	0.04885992	0.098141134
5526a476ac2ae4ef08b7bcb1a33d7f53	3	4	110	-131187.44	0.4724409	0.18981253	1.0	0.08675876	0.08848984
55c53ff953d747ebfb514235c8c7286c	3	7	191212	-138896.31	0.65219474	0.07310416	1.000000022	0.012433808	0.15251201
571e0de2d6989f71ebd61045f7277b9a	13	1	102	-130575.805	1.0	0.0	1.0	0.040777016	0.04275724
575a5bc66f7912c4ad48a34a36ab4774	5	6	62	-131058.805	0.3351306	0.2487627	0.9999999966	0.059792474	0.123758964
576ec6e8c13362133c1dbe96985d47d1	19	1	25	-130583.45	1.0	0.0	1.0	0.03086889	0.052484542
586ee8bd7ab4a9a8074517b760b32ace	87	1	204632	-126638.14	1.0	0.0	1.0	0.016597765	0.043686274
58b4bb90ea99ffb8f9c00fced2c0e798	2	3	129273	-142615.27	0.5965136	0.23543435	0.99999995	0.0035634157	0.056506075
58dc31ebc41b77888661072e6c799341	2	7	11102	-131089.19	0.44323123	0.23012201	0.999999994	0.032746226	0.076574065
59dd6d3f3f896c4309537cf26c3597a3	49	7	27580	-79401.03	0.14297512	0.14297402	0.99999997	9.279997e-06	6.113515e-06
59e0dff8c0b1047b3e8c35d69f2b203e	2	7	255109	-144124.23	0.69218135	0.10949935	0.999999977	0.086128235	0.15603864
5a646f256a19b7f4d68dbe74e563b5d9	5	3	191010	-139525.38	0.578996	0.280869	1.0000000199999999	0.03776796	0.044379376
5a7b179b1b45f0fe2282f260bf073f60	9	7	244179	-55273.066	0.14285715	0.14285715	1.00000005	5.000002e-07	6.113515e-06
5a8eb6a2625d5ae58cfeae791bf73c97	5	1	13130	-125822.945	1.0	0.0	1.0	0.0010559397	0.004033424
5ad2c891084262e1078ff79ed5667653	3	7	113	-131188.19	0.37730584	0.18537793	1.000000017	0.008004845	0.104496576
5c5682c8646261d3f1fa51270c21f95d	4	5	10274	-131153.75	0.4695162	0.19307521	1.000000001	0.041552413	0.18528928
5c92bac0e203e2d9b207cfacf4afd4d8	6	1	185507	-136996.67	1.0	0.0	1.0	0.0014340578	6.113515e-06
5da32e051bdda695c26f4cc556c3aede	198	7	9288	-129911.414	0.1428799	0.14287725	0.9999999900000001	7.181967e-06	6.113515e-06
5ea0169ea1bec162f836ed8493e22f2c	7	1	45	-131235.86	1.0	0.0	1.0	0.114348225	0.14039592
5f3443a78c43d705e1c1749add3951ff	4	7	10091	-130620.11	0.40891263	0.28947258	0.999999997	0.045341082	0.058019288
5fe8a79baa0e9601bc73ff3938dbf497	4	7	96169	-62555.9	0.14285715	0.14285715	1.00000005	5.000002e-07	6.113515e-06
60e788e44b093e436155116d1e8c46c8	11	1	82987	-57133.855	1.0	0.0	1.0	8.708946e-06	0.0044809906
