Group	EdgeKey	SelectionFrequency
CW	Genus:Illumatobacter || Genus:Geobacter	0.004
CW	Genus:Illumatobacter || Genus:Haliangium	0.066
CW	Genus:Illumatobacter || Genus:Lysobacter	0.004
CW	Genus:Illumatobacter || Genus:Nitrospira	0.004
CW	Genus:Illumatobacter || Genus:Paenisporosarcina	0.014
CW	Genus:Illumatobacter || Genus:Pedobacter	0.004
CW	Genus:Illumatobacter || Genus:Pirellula	0.032
CW	Genus:Illumatobacter || Genus:Planomicrobium	0.02
CW	Genus:Illumatobacter || Genus:Pseudolabrys	0.09
CW	Genus:Lysobacter || Genus:Altererythrobacter	0.006
CW	Genus:Lysobacter || Genus:Arenimonas	0.004
CW	Genus:Lysobacter || Genus:Fusibacter	0.116
CW	Genus:Lysobacter || Genus:Geobacter	0.038
CW	Genus:Lysobacter || Genus:Terrimonas	0.002
CW	Genus:Marinicella || Genus:Algoriphagus	0.166
CW	Genus:Marinicella || Genus:Altererythrobacter	0.066
CW	Genus:Marinicella || Genus:Desulfobulbus	0.068
CW	Genus:Marinicella || Genus:Erythrobacter	0.018
CW	Genus:Marinicella || Genus:Exiguobacterium	0.002
CW	Genus:Marinicella || Genus:Ferruginibacter	0.08
CW	Genus:Marinicella || Genus:Gemmatimonas	0.03
CW	Genus:Marinicella || Genus:Geobacter	0.12
CW	Genus:Marinicella || Genus:Lysobacter	0.836
CW	Genus:Marinicella || Genus:Massilia	0.018
CW	Genus:Marinicella || Genus:Nitrospira	0.154
CW	Genus:Marinicella || Genus:Pedobacter	0.002
CW	Genus:Marinicella || Genus:Pseudolabrys	0.01
CW	Genus:Nitrospira || Genus:Altererythrobacter	0.002
CW	Genus:Nitrospira || Genus:Exiguobacterium	0.014
CW	Genus:Nitrospira || Genus:Fusibacter	0.004
CW	Genus:Nitrospira || Genus:Geobacter	0.028
CW	Genus:Nitrospira || Genus:Lysobacter	0.174
CW	Genus:Nitrospira || Genus:Paenisporosarcina	0.026
CW	Genus:Nitrospira || Genus:Robiginitalea	0.002
CW	Genus:Paenisporosarcina || Genus:Algoriphagus	0.002
CW	Genus:Paenisporosarcina || Genus:Altererythrobacter	0.002
CW	Genus:Paenisporosarcina || Genus:Exiguobacterium	0.12
CW	Genus:Paenisporosarcina || Genus:Fusibacter	0.004
CW	Genus:Paenisporosarcina || Genus:Geobacter	0.002
CW	Genus:Paenisporosarcina || Genus:Haliangium	0.002
CW	Genus:Pedobacter || Genus:Altererythrobacter	0.006
CW	Genus:Pedobacter || Genus:Arenimonas	0.024
CW	Genus:Pedobacter || Genus:Desulfobulbus	0.002
CW	Genus:Pedobacter || Genus:Fusibacter	0.004
CW	Genus:Pedobacter || Genus:Haliangium	0.136
CW	Genus:Pedobacter || Genus:Massilia	0.02
CW	Genus:Pedobacter || Genus:Nitrospira	0.018
CW	Genus:Pedobacter || Genus:Paenisporosarcina	0.038
CW	Genus:Pedobacter || Genus:Pseudolabrys	0.006
CW	Genus:Pedobacter || Genus:Robiginitalea	0.052
CW	Genus:Pedobacter || Genus:Variibacter	0.012
CW	Genus:Pirellula || Genus:Acidovorax	0.006
