SampleID	Kingdom	Axis1	Axis2	Axis3	Axis4	Axis5	Soil	Compartment
PU_root_R3	Fungi	0.21048369175013	-0.36498338802848	0.0614989090090866	0.0877171308357523	-0.28210648907857	PU	Root
PU_root_R4	Fungi	0.19976887702738	-0.295768460662079	0.0453155559175324	0.0679766877824478	-0.0355493081292368	PU	Root
PU_soil_R1	Fungi	0.121078347531703	0.0838339868673462	0.319541072217418	0.031646500834847	0.130504934667436	PU	Soil
PU_soil_R2	Fungi	0.0529278021451004	0.0487414323276169	0.268357850651287	-0.111448637358963	0.0601863973467573	PU	Soil
PU_soil_R3	Fungi	0.110609456580379	0.0468114756130844	0.348867298136861	-0.0333120091672006	0.0493878854616665	PU	Soil
PU_soil_R4	Fungi	0.09218096240296	0.116055911984312	0.310727709195313	0.0266094102633699	0.128384752951607	PU	Soil
SD_rhizosphere_R1	Fungi	-0.312627298935865	-0.0621749490625623	-0.0462708804354344	-0.0958972855634619	-0.0336847306432306	SD	Rhizosphere
SD_rhizosphere_R2	Fungi	-0.324902850086667	-0.0541225719823784	-0.0552967592611016	-0.167607028801549	-0.0264289276898372	SD	Rhizosphere
SD_rhizosphere_R3	Fungi	-0.304401110307119	-0.0784710491916928	-0.0809295591250718	-0.167457335096242	-0.0649577057786923	SD	Rhizosphere
SD_rhizosphere_R4	Fungi	-0.344646536549399	-0.024839156219905	-0.0323661540303848	-0.0314524912296192	0.0336416489101196	SD	Rhizosphere
SD_root_R1	Fungi	-0.28250063232936	-0.118006256380863	-0.0200086279915185	0.125685337847309	-0.0482963215343102	SD	Root
SD_root_R2	Fungi	-0.22893051646166	-0.136410897678522	-0.119412936974387	0.0320123041294131	0.00855276679401815	SD	Root
SD_root_R3	Fungi	-0.259107878971247	-0.146473334347261	-0.124942831000851	-0.00596040465220319	-0.0595082463165336	SD	Root
SD_root_R4	Fungi	-0.236185800477716	-0.1332441306894	-0.0433479577475428	0.180777019999813	-0.0121192647413923	SD	Root
SD_soil_R1	Fungi	-0.344498797474729	0.0656301780372786	0.0534268027299602	0.138053851776592	0.0553531583915517	SD	Soil
SD_soil_R2	Fungi	-0.351629947328023	0.0998473835423107	0.0194582793907314	0.0847859737813347	0.0474104982335903	SD	Soil
SD_soil_R3	Fungi	-0.3378215043913	0.0902681382689118	0.0196460026351031	0.083375965258591	0.0439549627848564	SD	Soil
SD_soil_R4	Fungi	-0.334372654563489	0.0650285312736524	0.0324405579638242	0.152431931833504	0.0797693262523565	SD	Soil
GE_rhizosphere_R1	Oomycete	-0.320736937881528	-0.262312855316072	-0.010311051065745	-0.319945523273905	0.102328497383368	GE	Rhizosphere
GE_rhizosphere_R2	Oomycete	-0.366535120762586	-0.0771902490017958	-0.242167949585576	0.178873318110172	0.00834077899696376	GE	Rhizosphere
GE_rhizosphere_R3	Oomycete	-0.259606457596911	-0.20987832217943	-0.17151964320823	-0.387843707779923	0.0793743939758175	GE	Rhizosphere
GE_rhizosphere_R4	Oomycete	-0.376344974627423	0.0417098274288106	-0.0912175796244105	0.0233500494660701	0.116957936877585	GE	Rhizosphere
GE_root_R1	Oomycete	-0.297047663422913	0.277714345447124	-0.489521989695466	0.178111144692056	-0.0709807825079171	GE	Root
GE_root_R2	Oomycete	-0.266911543288793	0.282684118283325	-0.573443456460426	0.246962094220364	-0.042822977460176	GE	Root
GE_root_R3	Oomycete	-0.315901762838094	-0.0587007973178801	-0.402067870581537	-0.311347962637352	0.147535104431734	GE	Root
GE_root_R4	Oomycete	-0.400816958907474	0.242297220323417	-0.354428803204263	0.136279696129445	0.0516510261465085	GE	Root
GE_soil_R1	Oomycete	-0.219201600649579	-0.385546039158471	0.0535273459588856	0.000362755982144033	-0.0389875107485213	GE	Soil
GE_soil_R2	Oomycete	-0.26130172280338	-0.337770008317822	0.0488279167982651	0.100002079603075	-0.0945029289783299	GE	Soil
GE_soil_R3	Oomycete	-0.132932009684697	-0.343221457926821	-0.0413963236783751	-0.0110470614773904	-0.0510259426985864	GE	Soil
GE_soil_R4	Oomycete	-0.263621679776946	-0.260949097567797	-0.045337939841567	0.13768405454678	-0.0446108360466045	GE	Soil
PU_rhizosphere_R1	Oomycete	-0.0616193237085631	0.432200471725375	0.384457391196204	-0.0659478120269463	0.0714283809236475	PU	Rhizosphere
PU_rhizosphere_R2	Oomycete	-0.17166477944071	-0.140918035089989	0.200676111333938	-0.0134786896793122	-0.203257923597395	PU	Rhizosphere
PU_rhizosphere_R3	Oomycete	-0.220040351078858	-0.0421657894263038	0.213644223989354	0.123404546827085	-0.0717099562269159	PU	Rhizosphere
PU_rhizosphere_R4	Oomycete	-0.291739956889448	0.20093172552774	0.432201283387692	-0.0241930206239244	0.0585827478121902	PU	Rhizosphere
PU_root_R1	Oomycete	-0.125952301022704	0.583045419404079	0.281608886724306	-0.19083094993274	0.0818885673958737	PU	Root
PU_root_R2	Oomycete	0.060224229972912	-0.104687650099762	-0.127432476500592	-0.479056764692295	0.276880259465659	PU	Root
PU_root_R3	Oomycete	-0.198190571356185	0.486078263058073	0.00207011190059358	0.1890604854767	0.00769916114468283	PU	Root
PU_root_R4	Oomycete	-0.246803506057007	0.540244618371293	0.33803922105296	-0.08409854346566	0.0339998051281663	PU	Root
PU_soil_R1	Oomycete	-0.314661714720279	-0.131580828277872	0.31359966572708	0.0811179078982445	-0.0464888466624997	PU	Soil
PU_soil_R2	Oomycete	0.0139413975356995	-0.34461535602589	0.205037547546252	0.153224387205874	-0.000578644639194501	PU	Soil
PU_soil_R3	Oomycete	-0.149214246363741	-0.34054160188299	0.181050241048458	0.107998759887371	-0.0553457842640423	PU	Soil
PU_soil_R4	Oomycete	-0.266810171582761	-0.171338611170608	0.304737114184374	0.124434590846336	-0.0759291686555477	PU	Soil
SD_rhizosphere_R1	Oomycete	0.533844194899185	0.00653675875224358	-0.0310151219247721	0.0389430488370047	0.032768664668099	SD	Rhizosphere
SD_rhizosphere_R2	Oomycete	0.420595408327787	0.0329449925285388	-0.0509180889907192	-0.0689156939983552	-0.123722012530858	SD	Rhizosphere
SD_rhizosphere_R3	Oomycete	0.435849513141506	0.0552891844402272	-0.0646736474829269	-0.104781458152689	-0.297059905448186	SD	Rhizosphere
SD_rhizosphere_R4	Oomycete	0.513334458488021	-0.00219325214967533	-0.0245260385854306	0.0979515676448413	0.245639371547841	SD	Rhizosphere
SD_root_R1	Oomycete	0.498319734050553	0.047131173253528	-0.0434484001471885	-0.000301696740620234	-0.0416271659952141	SD	Root
SD_root_R2	Oomycete	0.297809783229227	0.131349429919117	-0.116747733547534	-0.291873855750809	-0.521352129032249	SD	Root
SD_root_R3	Oomycete	0.411695842614871	0.0810299897723757	-0.0413255398712766	0.0423162277180102	-0.00899576201195903	SD	Root
SD_root_R4	Oomycete	0.44218330220528	0.0740790377512586	-0.0613878183985887	-0.0793242186983325	-0.226300298628522	SD	Root
SD_soil_R1	Oomycete	0.514520037563614	-0.066452398313949	-0.00877416600516212	0.0990485933355798	0.176155471203906	SD	Soil
SD_soil_R2	Oomycete	0.468318228541693	-0.0738096933057156	-0.00234032630228486	0.112742013499997	0.151689881801905	SD	Soil
SD_soil_R3	Oomycete	0.456642082443274	-0.0545215043499092	0.00672140589064509	0.14351388662923	0.176312724040176	SD	Soil
SD_soil_R4	Oomycete	0.460377141446954	-0.106873029107774	0.0278034979630658	0.117605750373873	0.196065803188597	SD	Soil
