FeatureID	DisplayTaxon	Module	WithinConnectivity	KME	CandidateHub
Genus:Pleomorphomonas	Pleomorphomonas	grey	2.10558839682636	NA	FALSE
Genus:Conexibacter	Conexibacter	turquoise	8.65911502680093	0.627007554862238	FALSE
Genus:Flavisolibacter	Flavisolibacter	turquoise	8.89900220503774	0.59956721435727	FALSE
Genus:Herminiimonas	Herminiimonas	grey	1.25222165107502	NA	FALSE
Genus:Chlorochromatium	Chlorochromatium	brown	3.50653434474145	0.546750176910441	FALSE
Genus:Bellilinea	Bellilinea	grey	1.69190241511245	NA	FALSE
Genus:Candidatus Entotheonella	Candidatus Entotheonella	turquoise	5.96699164974682	0.510153779150271	FALSE
Genus:Euzebya	Euzebya	turquoise	6.41909441271199	0.468422057262107	FALSE
Genus:Rhodopirellula	Rhodopirellula	grey	1.82152108089166	NA	FALSE
Genus:Ohtaekwangia	Ohtaekwangia	turquoise	6.42195241051216	0.476365784640946	FALSE
Genus:Hydrogenophaga	Hydrogenophaga	brown	3.7585861078413	0.596203640331112	FALSE
Genus:Robiginitalea	Robiginitalea	blue	12.2416119488019	0.814982817802846	TRUE
Genus:Deferrisoma	Deferrisoma	yellow	2.68710260760279	0.320452146108926	FALSE
Genus:Desulfuromonas	Desulfuromonas	grey	1.96681479708599	NA	FALSE
Genus:Candidatus Xiphinematobacter	Candidatus Xiphinematobacter	turquoise	9.24027870169792	0.640981739774513	FALSE
Genus:Variovorax	Variovorax	brown	4.82396201661253	0.663880544885471	FALSE
Genus:Desulfomicrobium	Desulfomicrobium	grey	1.7692766218116	NA	FALSE
Genus:Rhodanobacter	Rhodanobacter	turquoise	14.7530872462651	0.779837593814974	FALSE
Genus:Azonexus	Azonexus	turquoise	4.00293976388003	0.33329248749329	FALSE
Genus:Reichenbachiella	Reichenbachiella	blue	4.92401877674201	0.528092321150847	FALSE
Genus:Nordella	Nordella	turquoise	6.92278208624304	0.514045009335884	FALSE
Genus:Altererythrobacter	Altererythrobacter	grey	1.58960791280544	NA	FALSE
Genus:Klebsiella	Klebsiella	grey	1.19109518103392	NA	FALSE
Genus:Propionivibrio	Propionivibrio	brown	1.74178804534729	0.380927175084181	FALSE
Genus:Rhizobacter	Rhizobacter	brown	1.75800346932193	0.34700450764154	FALSE
Genus:Imtechella	Imtechella	blue	8.8553638133001	0.707499232581625	FALSE
Genus:Gillisia	Gillisia	grey	1.95514174696627	NA	FALSE
Genus:Photobacterium	Photobacterium	blue	3.33491461193507	0.416156674792678	FALSE
Genus:Shivajiella	Shivajiella	turquoise	8.71425088047557	0.580155988530659	FALSE
Genus:Neorhizobium	Neorhizobium	turquoise	6.3628452168025	0.49017971924498	FALSE
Genus:Methylorosula	Methylorosula	grey	1.09562859736492	NA	FALSE
Genus:Candidatus Alysiosphaera	Candidatus Alysiosphaera	grey	1.86013663750574	NA	FALSE
Genus:Thermomonas	Thermomonas	brown	4.50744263598531	0.677048352759973	FALSE
Genus:Caldithrix	Caldithrix	blue	8.93871922658806	0.639007912154242	FALSE
Genus:Marmoricola	Marmoricola	turquoise	6.14539870321859	0.455119579606118	FALSE
Genus:Paenibacillus	Paenibacillus	turquoise	5.6865434654684	0.490804411006873	FALSE
Genus:Mangroviflexus	Mangroviflexus	grey	1.32912332203199	NA	FALSE
Genus:Actinoplanes	Actinoplanes	turquoise	13.1158246836867	0.777763953050218	FALSE
Genus:Acidothermus	Acidothermus	turquoise	10.0659275787718	0.632286268708798	FALSE
Genus:Bacteriovorax	Bacteriovorax	grey	1.57481160846687	NA	FALSE
Genus:Ruminiclostridium 1	Ruminiclostridium 1	turquoise	4.63935163480893	0.412555148609951	FALSE
Genus:Shewanella	Shewanella	blue	4.67960465243875	0.529595500926876	FALSE
Genus:Acetoanaerobium	Acetoanaerobium	turquoise	13.2606460828117	0.756390942224018	FALSE
Genus:Cercis gigantea	Cercis gigantea	grey	1.40026560477754	NA	FALSE
Genus:Lysinimicrobium	Lysinimicrobium	blue	6.88069537620386	0.607474148357344	FALSE
Genus:Shinella	Shinella	turquoise	3.92208638421778	0.361838250356779	FALSE
